Title,Source Query,City,Verdict,Real Type (reference),Google Maps Link (verify)
Hamogaway Homestay Siargao,"hostels in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,guesthouses,(blank — judge by name/map),https://www.google.com/maps/place/Hamogaway+Homestay+Siargao/data=!4m11!3m10!1s0x3303f73ad3687491:0x9dc56e803e125d4d!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.7856126!4d126.1604614!16s%2Fg%2F11whgj9vmj!19sChIJkXRo0zr3AzMRTV0SPoBuxZ0?authuser=0&hl=en&rclk=1
Dream Catcher Nipas,"hostels in General Luna, Siargao & Surigao, Philippines",General Luna,Review,(blank — judge by name/map),https://www.google.com/maps/place/Dream+Catcher+Nipas/data=!4m11!3m10!1s0x3303f7cd5ecacc11:0x6765655455777c0b!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.7913294!4d126.1607711!16s%2Fg%2F11h26bcn69!19sChIJEczKXs33AzMRC3x3VVRlZWc?authuser=0&hl=en&rclk=1
Location of Alcove Verde,"hostels in General Luna, Siargao & Surigao, Philippines",General Luna,Review,(blank — judge by name/map),https://www.google.com/maps/place/Location+of+Alcove+Verde/data=!4m11!3m10!1s0x3303f700182e4057:0x13eac85aa0b07756!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.7729038!4d126.1284864!16s%2Fg%2F11m6wb9s_4!19sChIJV0AuGAD3AzMRVnewoFrI6hM?authuser=0&hl=en&rclk=1
Bed and Bunk Siargao,"hostels in General Luna, Siargao & Surigao, Philippines",General Luna,Review,(blank — judge by name/map),https://www.google.com/maps/place/Bed+and+Bunk+Siargao/data=!4m11!3m10!1s0x3303f7cc4782027b:0xd3c4633044bfdb24!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.7844635!4d126.1554403!16s%2Fg%2F11xs0hn6vm!19sChIJewKCR8z3AzMRJNu_RDBjxNM?authuser=0&hl=en&rclk=1
Pointbreak Homestay,"hostels in General Luna, Siargao & Surigao, Philippines",General Luna,guesthouses,(blank — judge by name/map),https://www.google.com/maps/place/Pointbreak+Homestay/data=!4m11!3m10!1s0x3303f7004e4b0219:0x4e7444a2cf82efca!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.7862171!4d126.1620636!16s%2Fg%2F11y33vjqk5!19sChIJGQJLTgD3AzMRyu-Cz6JEdE4?authuser=0&hl=en&rclk=1
Communal Coliving | Siargao Coliving for Digital Nomads,"hostels in General Luna, Siargao & Surigao, Philippines",General Luna,hostel,(blank — judge by name/map),https://www.google.com/maps/place/Communal+Coliving+%7C+Siargao+Coliving+for+Digital+Nomads/data=!4m11!3m10!1s0x3303f9661ff80d53:0xac4e88214c76611c!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8399284!4d126.1355143!16s%2Fg%2F11w9shpgrt!19sChIJUw34H2b5AzMRHGF2TCGITqw?authuser=0&hl=en&rclk=1
Greenfalls Leisure Farm and Resort,"hotels in Britania Islands, Siargao & Surigao, Philippines",Britania Islands,Resort,resort hotel,https://www.google.com/maps/place/Greenfalls+Leisure+Farm+and+Resort/data=!4m7!3m6!1s0x33023cba00128f49:0xebf9453e39036d72!8m2!3d8.9702038!4d126.1002565!16s%2Fg%2F1261qtxl4!19sChIJSY8SALo8AjMRcm0DOT5F-es?authuser=0&hl=en&rclk=1
Isla Cabana Resort,"hotels in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,Resort,(blank — judge by name/map),https://www.google.com/maps/place/Isla+Cabana+Resort/data=!4m11!3m10!1s0x3303f61b05f49ad9:0x245b90b3ae432a7!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.7899365!4d126.1632829!16s%2Fg%2F1hhjc6lly!19sChIJ2Zr0BRv2AzMRpzLkOgu5RQI?authuser=0&hl=en&rclk=1
Makulay Siargao Resort,"hotels in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,Resort,(blank — judge by name/map),https://www.google.com/maps/place/Makulay+Siargao+Resort/data=!4m11!3m10!1s0x330409052759b331:0xb48e5f496d2c3aec!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8450468!4d126.1409724!16s%2Fg%2F11dymnkdq9!19sChIJMbNZJwUJBDMR7DosbUlfjrQ?authuser=0&hl=en&rclk=1
Mera's Garden Siargao,"hotels in General Luna, Siargao & Surigao, Philippines",General Luna,Review,(blank — judge by name/map),https://www.google.com/maps/place/Mera%27s+Garden+Siargao/data=!4m11!3m10!1s0x3303f7c6e300a7bb:0xc62e43abd388af5!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.7912367!4d126.1621727!16s%2Fg%2F11j7kb8p1w!19sChIJu6cA48b3AzMR9Yo4vTrkYgw?authuser=0&hl=en&rclk=1
KASIKAS Homestay,"hotels in General Luna, Siargao & Surigao, Philippines",General Luna,guesthouses,(blank — judge by name/map),https://www.google.com/maps/place/KASIKAS+Homestay/data=!4m11!3m10!1s0x3303f7b340eef5f1:0x5380cd3d8fd9bf9!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.7909735!4d126.1555891!16s%2Fg%2F11wqb1tdg8!19sChIJ8fXuQLP3AzMR-Zv92NMMOAU?authuser=0&hl=en&rclk=1
Isola Del Sole Villas And Resort,"hotels in General Luna, Siargao & Surigao, Philippines",General Luna,guesthouses,(blank — judge by name/map),https://www.google.com/maps/place/Isola+Del+Sole+Villas+And+Resort/data=!4m11!3m10!1s0x330409982a3336db:0xffa06e3690ab5aff!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8007644!4d126.1576507!16s%2Fg%2F11rxvkyr5j!19sChIJ2zYzKpgJBDMR_1qrkDZuoP8?authuser=0&hl=en&rclk=1
Lix Hotel,"hotels in Siargao, Siargao & Surigao, Philippines",Siargao,Resort,(blank — judge by name/map),https://www.google.com/maps/place/Lix+Hotel/data=!4m11!3m10!1s0x3301372621755529:0x3c5efe5f599e56c2!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.7888088!4d125.4947514!16s%2Fg%2F11mdsfcgbx!19sChIJKVV1ISY3ATMRwlaeWV_-Xjw?authuser=0&hl=en&rclk=1
Eco Pension,"hotels in Siargao, Siargao & Surigao, Philippines",Siargao,Hotel,(blank — judge by name/map),https://www.google.com/maps/place/Eco+Pension/data=!4m11!3m10!1s0x330131ea715425ad:0x77cee0ac6fa289c7!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.7715508!4d125.4776459!16s%2Fg%2F11h7s_zt6w!19sChIJrSVUceoxATMRx4mib6zgznc?authuser=0&hl=en&rclk=1
Le Chard PlaceTourist Inn,"hotels in Siargao, Siargao & Surigao, Philippines",Siargao,guesthouses,(blank — judge by name/map),https://www.google.com/maps/place/Le+Chard+PlaceTourist+Inn/data=!4m11!3m10!1s0x330136d5f74e40d7:0xe496a08793ffc75f!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.7660154!4d125.4829538!16s%2Fg%2F12hkf4yrn!19sChIJ10BO99U2ATMRX8f_k4egluQ?authuser=0&hl=en&rclk=1
Kasili Lakeside Resort and Hotel,"hotels in Siargao, Siargao & Surigao, Philippines",Siargao,Resort,(blank — judge by name/map),https://www.google.com/maps/place/Kasili+Lakeside+Resort+and+Hotel/data=!4m11!3m10!1s0x330115073ab7aaab:0x3ec65df051fdb924!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.5349737!4d125.5214965!16s%2Fg%2F1v0lh906!19sChIJq6q3OgcVATMRJLn9UfBdxj4?authuser=0&hl=en&rclk=1
Amazing beach siargao,"nightclubs in Siargao, Siargao & Surigao, Philippines",Siargao,review,bar,https://www.google.com/maps/place/Amazing+beach+siargao/data=!4m7!3m6!1s0x3303f70059430331:0x825e016a2e1879fa!8m2!3d9.7619072!4d126.127317!16s%2Fg%2F11z61k8l58!19sChIJMQNDWQD3AzMR-nkYLmoBXoI?authuser=0&hl=en&rclk=1
Secret Surf Spot of the south,"nightclubs in Siargao, Siargao & Surigao, Philippines",Siargao,review,surf school,https://www.google.com/maps/place/Secret+Surf+Spot+of+the+south/data=!4m7!3m6!1s0x3303f7d88d8881bb:0x434c85c74beb9ac!8m2!3d9.7489888!4d126.0908084!16s%2Fg%2F11rfc4y94p!19sChIJu4GIjdj3AzMRrLm-dFzINAQ?authuser=0&hl=en&rclk=1
Bake X Siargao/Siram Siargao,"nightclubs in Siargao, Siargao & Surigao, Philippines",Siargao,review,cafe,https://www.google.com/maps/place/Bake+X+Siargao%2FSiram+Siargao/data=!4m7!3m6!1s0x3303f61ddc3e710d:0x2b76555e25a76b80!8m2!3d9.7942868!4d126.1607306!16s%2Fg%2F11fy4snwv3!19sChIJDXE-3B32AzMRgGunJV5Vdis?authuser=0&hl=en&rclk=1
BGFC - Graphics and Multimedia Club,"nightlife in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande,Review,photographer,https://www.google.com/maps/place/BGFC+-+Graphics+and+Multimedia+Club/data=!4m7!3m6!1s0x3303e3000a0233d9:0xf4b54c56b433351e!8m2!3d9.6156978!4d125.9628241!16s%2Fg%2F11mygdkx5j!19sChIJ2TMCCgDjAzMRHjUztFZMtfQ?authuser=0&hl=en&rclk=1
Bucas Grande,"nightlife in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande,Review,island,https://www.google.com/maps/place/Bucas+Grande/data=!4m7!3m6!1s0x3303e2c71c7c8561:0xb80cbee655791730!8m2!3d9.6176113!4d125.9369952!16s%2Fm%2F02rv06x!19sChIJYYV8HMfiAzMRMBd5Vea-DLg?authuser=0&hl=en&rclk=1
Port of Dapa,"nightlife in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande,Review,port authority,https://www.google.com/maps/place/Port+of+Dapa/data=!4m7!3m6!1s0x3303f9afd2217741:0x1b2d62a1825a0525!8m2!3d9.7551656!4d126.0507255!16s%2Fg%2F11t5jqpl20!19sChIJQXch0q_5AzMRJQVagqFiLRs?authuser=0&hl=en&rclk=1
Zicatela Siargao,"nightlife in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,Review,bar,https://www.google.com/maps/place/Zicatela+Siargao/data=!4m7!3m6!1s0x33040928b0bcafb3:0xe1d248d82730772f!8m2!3d9.8069766!4d126.1668873!16s%2Fg%2F11hdwlzts4!19sChIJs6-8sCgJBDMRL3cwJ9hI0uE?authuser=0&hl=en&rclk=1
Violegre Gastropub,"nightlife in General Luna, Siargao & Surigao, Philippines",General Luna,bar,gastropub,https://www.google.com/maps/place/Violegre+Gastropub/data=!4m7!3m6!1s0x330409021dc91c15:0x84af7a35f605a69f!8m2!3d9.7861877!4d126.1614523!16s%2Fg%2F11t_dh7p5r!19sChIJFRzJHQIJBDMRn6YF9jV6r4Q?authuser=0&hl=en&rclk=1
Happy Islanders Surf Club,"nightlife in General Luna, Siargao & Surigao, Philippines",General Luna,bar,surf school,https://www.google.com/maps/place/Happy+Islanders+Surf+Club/data=!4m7!3m6!1s0x33040914f51474a5:0x14a76bcb7056be5e!8m2!3d9.8110655!4d126.1641642!16s%2Fg%2F11l5qgwrt4!19sChIJpXQU9RQJBDMRXr5WcMtrpxQ?authuser=0&hl=en&rclk=1
Seabreeze Kite Club,"nightlife in General Luna, Siargao & Surigao, Philippines",General Luna,Review,kite shop,https://www.google.com/maps/place/Seabreeze+Kite+Club/data=!4m7!3m6!1s0x3303f61a6bf800c5:0x65e1dfcd14927037!8m2!3d9.7923964!4d126.162362!16s%2Fg%2F11bwf7vhhc!19sChIJxQD4axr2AzMRN3CSFM3f4WU?authuser=0&hl=en&rclk=1
Dre's Place,"nightlife in General Luna, Siargao & Surigao, Philippines",General Luna,Water activity,self-catering accommodation,https://www.google.com/maps/place/Dre%27s+Place/data=!4m7!3m6!1s0x3303f72419291871:0x403c8776433906e9!8m2!3d9.7864389!4d126.1586556!16s%2Fg%2F11fp8jhqq1!19sChIJcRgpGST3AzMR6QY5Q3aHPEA?authuser=0&hl=en&rclk=1
ShakaBrah Siargao,"nightlife in General Luna, Siargao & Surigao, Philippines",General Luna,Review,(blank — judge by name/map),https://www.google.com/maps/place/ShakaBrah+Siargao/data=!4m11!3m10!1s0x330409b769e77b53:0x5296f9c3b59f26b3!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8382909!4d126.1395864!16s%2Fg%2F11fq4nlxpr!19sChIJU3vnabcJBDMRsyaftcP5llI?authuser=0&hl=en&rclk=1
Ronin Siargao Jiujitsu,"nightlife in General Luna, Siargao & Surigao, Philippines",General Luna,Gym,sports club,https://www.google.com/maps/place/Ronin+Siargao+Jiujitsu/data=!4m7!3m6!1s0x3303f7cb7e1cf173:0xa9cd0891df716854!8m2!3d9.7905451!4d126.1617696!16s%2Fg%2F11ww8q48nw!19sChIJc_Ecfsv3AzMRVGhx35EIzak?authuser=0&hl=en&rclk=1
Kesa Cloud 9 Resort,"resorts in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,Resort,(blank — judge by name/map),https://www.google.com/maps/place/Kesa+Cloud+9+Resort/data=!4m11!3m10!1s0x330409edc0d46055:0xeabe4d75f64139d9!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.811546!4d126.1638555!16s%2Fg%2F1hc5937_k!19sChIJVWDUwO0JBDMR2TlB9nVNvuo?authuser=0&hl=en&rclk=1
NYLA Boutique Resort Siargao,"resorts in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,Resort,(blank — judge by name/map),https://www.google.com/maps/place/NYLA+Boutique+Resort+Siargao/data=!4m11!3m10!1s0x330409d01493e6cd:0x4480f7a1f817817a!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8036782!4d126.1591807!16s%2Fg%2F11lnnz_8k_!19sChIJzeaTFNAJBDMReoEX-KH3gEQ?authuser=0&hl=en&rclk=1
Kermit Surf Resort and Restaurant Siargao,"resorts in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,Resort,(blank — judge by name/map),https://www.google.com/maps/place/Kermit+Surf+Resort+and+Restaurant+Siargao/data=!4m11!3m10!1s0x3303f61a697d50eb:0xd08fd29137b9c117!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.7879107!4d126.1605177!16s%2Fg%2F11gzmqfrq!19sChIJ61B9aRr2AzMRF8G5N5HSj9A?authuser=0&hl=en&rclk=1
Las Palmas Villas and Casitas,"resorts in General Luna, Siargao & Surigao, Philippines",General Luna,guesthouses,(blank — judge by name/map),https://www.google.com/maps/place/Las+Palmas+Villas+and+Casitas/data=!4m11!3m10!1s0x330409aba19c5955:0x68ac97074f172b19!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8020521!4d126.1595741!16s%2Fg%2F11h8h88gw5!19sChIJVVmcoasJBDMRGSsXTweXrGg?authuser=0&hl=en&rclk=1
Happiness Beach Resort Siargao,"resorts in General Luna, Siargao & Surigao, Philippines",General Luna,Resort,(blank — judge by name/map),https://www.google.com/maps/place/Happiness+Beach+Resort+Siargao/data=!4m11!3m10!1s0x3304096022b2d42d:0xc38506d9058e42a3!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8018538!4d126.160349!16s%2Fg%2F11jz20ppbj!19sChIJLdSyImAJBDMRo0KOBdkGhcM?authuser=0&hl=en&rclk=1
"INARA SIARGAO, BEACH RESORT","resorts in General Luna, Siargao & Surigao, Philippines",General Luna,Resort,(blank — judge by name/map),"https://www.google.com/maps/place/INARA+SIARGAO,+BEACH+RESORT/data=!4m11!3m10!1s0x3303f77ac5804975:0x224afd107ef83c17!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.760018!4d126.126688!16s%2Fg%2F11q_43h43g!19sChIJdUmAxXr3AzMRFzz4fhD9SiI?authuser=0&hl=en&rclk=1"
Mango Tree Siargao,"resorts in General Luna, Siargao & Surigao, Philippines",General Luna,Review,(blank — judge by name/map),https://www.google.com/maps/place/Mango+Tree+Siargao/data=!4m11!3m10!1s0x3303f73a7be5467b:0xf8a1d8e40497816f!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.7934145!4d126.1383879!16s%2Fg%2F11fqbxkxsp!19sChIJe0blezr3AzMRb4GXBOTYofg?authuser=0&hl=en&rclk=1
Sea Green Boutique Rooms,"resorts in General Luna, Siargao & Surigao, Philippines",General Luna,guesthouses,(blank — judge by name/map),https://www.google.com/maps/place/Sea+Green+Boutique+Rooms/data=!4m11!3m10!1s0x3303f71aa58f6297:0xae5082c16c0f56d2!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.7914376!4d126.1610739!16s%2Fg%2F11h7kttqx7!19sChIJl2KPpRr3AzMR0lYPbMGCUK4?authuser=0&hl=en&rclk=1
L'Osteria Oceanfront Designer Suite,"resorts in General Luna, Siargao & Surigao, Philippines",General Luna,guesthouses,(blank — judge by name/map),https://www.google.com/maps/place/L%27Osteria+Oceanfront+Designer+Suite/data=!4m11!3m10!1s0x330409f042798413:0xcc25e37639166972!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.806357!4d126.167235!16s%2Fg%2F11q83r5dxl!19sChIJE4R5QvAJBDMRcmkWOXbjJcw?authuser=0&hl=en&rclk=1
Villa Felicisima Beach Resort,"resorts in General Luna, Siargao & Surigao, Philippines",General Luna,Resort,(blank — judge by name/map),https://www.google.com/maps/place/Villa+Felicisima+Beach+Resort/data=!4m11!3m10!1s0x3303f7dfe8137fe5:0xc241e657b5dae216!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.7882897!4d126.1628308!16s%2Fg%2F11h_vs56yr!19sChIJ5X8T6N_3AzMRFuLatVfmQcI?authuser=0&hl=en&rclk=1
Oyay's Seafood Grill & Restaurant,"restaurants in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande,restaurant,restaurant,https://www.google.com/maps/place/Oyay%27s+Seafood+Grill+%26+Restaurant/data=!4m7!3m6!1s0x3303f9e124e82def:0x3da039c7324b88e0!8m2!3d9.7539107!4d126.0518584!16s%2Fg%2F11yy_t3rwk!19sChIJ7y3oJOH5AzMR4IhLMsc5oD0?authuser=0&hl=en&rclk=1
SHAKA Siargao,"restaurants in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,Review,vegetarian restaurant,https://www.google.com/maps/place/SHAKA+Siargao/data=!4m7!3m6!1s0x330409edeece4251:0x237b0ac9af892681!8m2!3d9.8117509!4d126.1645182!16s%2Fg%2F11cn94nprh!19sChIJUULO7u0JBDMRgSaJr8kKeyM?authuser=0&hl=en&rclk=1
Munchies @ Jacking Horse Trail Gen. Luna Siargao,"restaurants in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,restaurant,restaurant,https://www.google.com/maps/place/Munchies+@+Jacking+Horse+Trail+Gen.+Luna+Siargao/data=!4m7!3m6!1s0x3304092e396c3fbd:0xb3eedfcc18c79810!8m2!3d9.8131351!4d126.1618923!16s%2Fg%2F11fpvb_4sn!19sChIJvT9sOS4JBDMREJjHGMzf7rM?authuser=0&hl=en&rclk=1
Warung Siargao Indonesian Restaurant,"restaurants in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,restaurant,restaurant,https://www.google.com/maps/place/Warung+Siargao+Indonesian+Restaurant/data=!4m7!3m6!1s0x3303f61de7ca716d:0x41cd877baefc555b!8m2!3d9.7960585!4d126.1608989!16s%2Fg%2F11d_7tcxlg!19sChIJbXHK5x32AzMRW1X8rnuHzUE?authuser=0&hl=en&rclk=1
Isla Panciteria Siargao,"restaurants in General Luna, Siargao & Surigao, Philippines",General Luna,restaurant,restaurant,https://www.google.com/maps/place/Isla+Panciteria+Siargao/data=!4m7!3m6!1s0x3304090075d119c7:0xf5f43a20fc32600b!8m2!3d9.8038939!4d126.1595071!16s%2Fg%2F11lzwsn5gm!19sChIJxxnRdQAJBDMRC2Ay_CA69PU?authuser=0&hl=en&rclk=1
Nattribu Siargao,"restaurants in General Luna, Siargao & Surigao, Philippines",General Luna,restaurant,restaurant,https://www.google.com/maps/place/Nattribu+Siargao/data=!4m7!3m6!1s0x3303f72821410875:0x523ed7e6b637e584!8m2!3d9.7904839!4d126.1617438!16s%2Fg%2F11txcqcbr4!19sChIJdQhBISj3AzMRhOU3tubXPlI?authuser=0&hl=en&rclk=1
The Beachbaby Cafe,"restaurants in General Luna, Siargao & Surigao, Philippines",General Luna,café,restaurant,https://www.google.com/maps/place/The+Beachbaby+Cafe/data=!4m7!3m6!1s0x3303f7274a8e2417:0x5c66cca0ce6cd9d7!8m2!3d9.7921957!4d126.1615892!16s%2Fg%2F11r7cz62w8!19sChIJFySOSif3AzMR19lszqDMZlw?authuser=0&hl=en&rclk=1
Secret Garden Siargao,"restaurants in General Luna, Siargao & Surigao, Philippines",General Luna,restaurant,restaurant,https://www.google.com/maps/place/Secret+Garden+Siargao/data=!4m7!3m6!1s0x3303f7196c509361:0xb80242bef8df5f25!8m2!3d9.7818001!4d126.1560888!16s%2Fg%2F11p0wtf94g!19sChIJYZNQbBn3AzMRJV_f-L5CArg?authuser=0&hl=en&rclk=1
Doner shawarma and kebabs my falafel-siargao islandحلال,"restaurants in General Luna, Siargao & Surigao, Philippines",General Luna,restaurant,shawarma restaurant,https://www.google.com/maps/place/Doner+shawarma+and+kebabs+my+falafel-siargao+island%D8%AD%D9%84%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x3304094f8fb10a93:0xd46ac8e17d80117!8m2!3d9.7859023!4d126.1616474!16s%2Fg%2F11l1yt3h9x!19sChIJkwqxj08JBDMRFwHYF46sRg0?authuser=0&hl=en&rclk=1
HAMÁL iao,"restaurants in Siargao, Siargao & Surigao, Philippines",Siargao,restaurant,middle eastern restaurant,https://www.google.com/maps/place/HAM%C3%81L+iao/data=!4m7!3m6!1s0x3303f76d09d6ba1d:0xfb8dce49a974e11b!8m2!3d9.785657!4d126.1571682!16s%2Fg%2F11x0mwv4yf!19sChIJHbrWCW33AzMRG-F0qUnOjfs?authuser=0&hl=en&rclk=1
Bucas Grande Island,"things to do in Bucas Grande, Siargao & Surigao, Philippines",Bucas Grande,restaurant,tourist attraction,https://www.google.com/maps/place/Bucas+Grande+Island/data=!4m7!3m6!1s0x3303e1fdfa01a2d1:0x375afdc37286a3b9!8m2!3d9.5961815!4d125.9155547!16s%2Fg%2F11btwrb2mr!19sChIJ0aIB-v3hAzMRuaOGcsP9Wjc?authuser=0&hl=en&rclk=1
Love Beach,"things to do in General Luna, Siargao & Surigao, Philippines",General Luna,Beach ,tourist attraction,https://www.google.com/maps/place/Love+Beach/data=!4m7!3m6!1s0x3303f737226a8599:0x6f4450d905ee1060!8m2!3d9.7850098!4d126.1612321!16s%2Fg%2F11sjtd2vxc!19sChIJmYVqIjf3AzMRYBDuBdlQRG8?authuser=0&hl=en&rclk=1
Secret Beach,"things to do in General Luna, Siargao & Surigao, Philippines",General Luna,Beach ,beach pavillion,https://www.google.com/maps/place/Secret+Beach/data=!4m7!3m6!1s0x3303f7b698a06fa9:0x3da2c49aa2353468!8m2!3d9.7564043!4d126.1167504!16s%2Fg%2F11kq3cmkb2!19sChIJqW-gmLb3AzMRaDQ1oprEoj0?authuser=0&hl=en&rclk=1
General Luna Port,"things to do in General Luna, Siargao & Surigao, Philippines",General Luna,port,boat ramp,https://www.google.com/maps/place/General+Luna+Port/data=!4m7!3m6!1s0x3303f7456342b0e9:0xa36c2ce4ea6f64d!8m2!3d9.7810105!4d126.1568439!16s%2Fg%2F11h9k8_kpd!19sChIJ6bBCY0X3AzMRTfamTs7CNgo?authuser=0&hl=en&rclk=1
Naked Island,"things to do in General Luna, Siargao & Surigao, Philippines",General Luna,Beach ,tourist attraction,https://www.google.com/maps/place/Naked+Island/data=!4m7!3m6!1s0x3303f725e486864d:0xfed1580ca1d75fe!8m2!3d9.7348585!4d126.1260153!16s%2Fg%2F11g6twcctq!19sChIJTYaG5CX3AzMR_nUdyoAV7Q8?authuser=0&hl=en&rclk=1
The River Hideaway,"things to do in General Luna, Siargao & Surigao, Philippines",General Luna,tourist attraction,villa,https://www.google.com/maps/place/The+River+Hideaway/data=!4m11!3m10!1s0x330409b654401b0d:0xba38e81345a74f0f!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.828838!4d126.1160526!16s%2Fg%2F11tfbs0rvv!19sChIJDRtAVLYJBDMRD0-nRRPoOLo?authuser=0&hl=en&rclk=1
Ulap Surf,"things to do in General Luna, Siargao & Surigao, Philippines",General Luna,surf school,surf school,https://www.google.com/maps/place/Ulap+Surf/data=!4m7!3m6!1s0x330409788b41537d:0x6345e500cbf665a7!8m2!3d9.8090841!4d126.1617666!16s%2Fg%2F11nnz8m113!19sChIJfVNBi3gJBDMRp2X2ywDlRWM?authuser=0&hl=en&rclk=1
Pangitlogan,"things to do in General Luna, Siargao & Surigao, Philippines",General Luna,tourist attraction,tourist attraction,https://www.google.com/maps/place/Pangitlogan/data=!4m7!3m6!1s0x330409002ee07a93:0x7c8d1af24f1e5dfe!8m2!3d9.8492784!4d126.1450393!16s%2Fg%2F11ltmh3h2n!19sChIJk3rgLgAJBDMR_l0eT_IajXw?authuser=0&hl=en&rclk=1
Siargao Firefly watching,"things to do in Siargao, Siargao & Surigao, Philippines",Siargao,tourist attraction,tourist attraction,https://www.google.com/maps/place/Siargao+Firefly+watching/data=!4m7!3m6!1s0x3303f70f054ba15f:0xba8f0f10c17f450a!8m2!3d9.7589533!4d126.1152923!16s%2Fg%2F11kjf9ppr4!19sChIJX6FLBQ_3AzMRCkV_wRAPj7o?authuser=0&hl=en&rclk=1
Alegria Beach,"things to do in Siargao, Siargao & Surigao, Philippines",Siargao,Beach ,tourist attraction,https://www.google.com/maps/place/Alegria+Beach/data=!4m7!3m6!1s0x330419718c6e68e3:0x20f7fdd460e31d01!8m2!3d10.054659!4d126.0710457!16s%2Fg%2F11tcc4w9_s!19sChIJ42hujHEZBDMRAR3jYNT99yA?authuser=0&hl=en&rclk=1
Colz Travel & Tours - Siargao,"tours in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,tour agency,tour operator,https://www.google.com/maps/place/Colz+Travel+%26+Tours+-+Siargao/data=!4m7!3m6!1s0x330409a1a286056b:0x86542eb5f2080e60!8m2!3d9.8127527!4d126.1618995!16s%2Fg%2F11tgdj5xkl!19sChIJawWGoqEJBDMRYA4I8rUuVIY?authuser=0&hl=en&rclk=1
siargaoislandtour,"tours in General Luna, Siargao & Surigao, Philippines",General Luna,tour agency,tour agency,https://www.google.com/maps/place/siargaoislandtour/data=!4m7!3m6!1s0x3303f71640a8cc25:0xc186448053273923!8m2!3d9.7763811!4d126.1252592!16s%2Fg%2F11y3k27nxf!19sChIJJcyoQBb3AzMRIzknU4BEhsE?authuser=0&hl=en&rclk=1
Boozey Tour Services,"tours in General Luna, Siargao & Surigao, Philippines",General Luna,tour agency,boat tour agency,https://www.google.com/maps/place/Boozey+Tour+Services/data=!4m7!3m6!1s0x3303f70024c92fc5:0xa87890a9a7b79b5d!8m2!3d9.7852216!4d126.1614192!16s%2Fg%2F11z7_q54tn!19sChIJxS_JJAD3AzMRXZu3p6mQeKg?authuser=0&hl=en&rclk=1
Javalava Tours,"tours in General Luna, Siargao & Surigao, Philippines",General Luna,tour agency,travel agency,https://www.google.com/maps/place/Javalava+Tours/data=!4m7!3m6!1s0x3397b7ebd07c3acd:0xdf129fb1897fb2c3!8m2!3d9.7836083!4d126.1565257!16s%2Fg%2F1tp1wbp3!19sChIJzTp80Ou3lzMRw7J_ibGfEt8?authuser=0&hl=en&rclk=1
General Luna Tourism Office,"tours in General Luna, Siargao & Surigao, Philippines",General Luna,Tourism information center,tourist information center,https://www.google.com/maps/place/General+Luna+Tourism+Office/data=!4m7!3m6!1s0x3303f7e664700e13:0xf6d94cdae21a57ed!8m2!3d9.7810785!4d126.1566533!16s%2Fg%2F11txjlpj1x!19sChIJEw5wZOb3AzMR7Vca4tpM2fY?authuser=0&hl=en&rclk=1
